https://www.worldometers.info/coronavirus/country/us,,,,,,,,,,,
State,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,cases /1M pop,deaths/ 1M pop,Total Tests,tests/ 1M pop,population
Alabama,"562,311",497,"11,460",17,N/A,N/A,"114,683","2,337","2,870,186","585,372","4,903,185"
Alaska,"69,891",,374,,"66,842","2,675","95,539",511,"2,437,301","3,331,717","731,545"
Arizona,"910,436","1,154","18,117",,"872,416","19,903","125,082","2,489","5,194,680","713,681","7,278,717"
Arkansas,"367,007","1,875","6,007",,"349,439","11,561","121,614","1,991","3,925,268","1,300,703","3,017,804"
California,"3,874,959","5,269","64,141",9,"2,083,729","1,727,089","98,070","1,623","72,034,627","1,823,097","39,512,223"
Colorado,"567,211",541,"7,131",15,"488,611","71,469","98,496","1,238","3,231,982","561,231","5,758,736"
Connecticut,"351,302",218,"8,282",,"340,278","2,742","98,534","2,323","9,778,284","2,742,636","3,565,287"
Delaware,"110,457",34,"1,697",,"107,880",880,"113,433","1,743","746,593","766,708","973,764"
District Of Columbia,"49,827",34,"1,146",,"34,985","13,696","70,602","1,624","1,705,283","2,416,274","705,749"
Florida,"2,476,193","8,012","38,422",9,"2,269,871","167,900","115,291","1,789","32,068,084","1,493,085","21,477,737"
Georgia,"1,150,835","1,569","21,571",7,"1,074,074","55,190","108,391","2,032","12,217,407","1,150,694","10,617,423"
Hawaii,"39,486",100,523,,N/A,N/A,"27,888",369,"1,797,812","1,269,756","1,415,872"
Idaho,"197,456",245,"2,177",1,"116,159","79,120","110,492","1,218","1,435,336","803,181","1,787,065"
Illinois,"1,403,508",745,"25,845",4,"1,362,664","14,999","110,758","2,040","26,411,240","2,084,250","12,671,821"
Indiana,"762,127",655,"13,958",6,"733,172","14,997","113,206","2,073","11,062,438","1,643,208","6,732,219"
Iowa,"406,319",,"6,158",,"367,127","33,034","128,783","1,952","5,245,899","1,662,689","3,155,070"
Kansas,"324,187",,"5,198",,"310,830","8,159","111,278","1,784","1,473,019","505,616","2,913,314"
Kentucky,"471,669",989,"7,304",3,N/A,N/A,"105,574","1,635","7,062,436","1,580,786","4,467,673"
Louisiana,"501,494","1,562","10,861",20,N/A,N/A,"107,876","2,336","7,995,661","1,719,943","4,648,794"
